Date,Time,Loc,"Left Leg
 Top/Bottom","Right Leg
 Top/Bottom",RFID No.,Band No.,"If recap, year caught","Tarsus
 (mm)","Skull
 (mm)",Wing (mm),Body mass (g),Forehead Black Width (mm),Species,Notes,Submitted to BBL portal (yes/no)
11/30/2023,11:30,FP,RFID Black,Blue/Alum,3B004C291C,2711-04932,,21.4,32.5,84,24.24,,TUTI,fat,
12/2/2023,9:16,BW,RFID Yellow,Yellow/Alum,recap,2711-04978,2023,23.6,33.4,79,21.28,,TUTI,,
12/2/2023,9:20,SC,Blue/Alum,RFID Green,recap,2711-04914,2023,21.3,30.07,79,20.79,,TUTI,caught 7 times this year! ,
12/2/2023,9:20,BW,Black/Alum,RFID Purple,recap,2711-04983,2023,19.5,31,80,19.82,,TUTI,,
12/2/2023,9:30,UM,RFID Grey,Yellow/Alum,recap,2711-04477,2022,22.5,32.1,85,22.24,,TUTI,,
12/2/2023,9:30,SC,Green/Alum,RFID Grey,recap,2711-04917,2023,21.7,31.9,79,20,,TUTI,,
12/2/2023,9:43,SC,Blue/Alum,RFID Blue,recap,2711-04920,2023,22.1,32,n/a,n/a,,TUTI,,
12/2/2023,9:45,Pines,RFID Blue,Green/Alum,recap,2711-04492,2022,22.6,31.9,87,22.92,,TUTI,,
12/2/2023,9:45,Pines,RFID Purple,Blue/Alum,3B0018F7AF,2711-04933,,21,31.8,77,20.84,,TUTI,,
12/2/2023,10:35,UM,Black/Alum,RFID Green,recap,2711-04913,2023,20.7,31.5,77,20.4,,TUTI,,
12/2/2023,10:45,BW,Yellow/Alum,RFID Red,3B0018229B,2711-04973,,22.4,31.6,77,22.46,,TUTI,,
12/4/2023,14:45,MS,RFID Black,Blue/Alum,recap,2711-04932,2023,22.5,32.5,83,24.84,,TUTI,,
12/5/2023,9:14,PP,RFID Yellow,Blue/Alum,3B0019BAD5,2711-04971,,21.6,30.9,79,20.72,,TUTI,,
12/5/2023,9:47,Pines,Yellow/Alum,RFID White,3B00193B9F,2711-04972,,23,32,85,23.41,,TUTI,,
12/5/2023,10:00,Pines,Orange/Alum,RFID White,3B0048985E,2711-04935,,22,32.9,85,22.13,,TUTI,,
12/5/2023,15:00,FP,Orange/Alum,RFID Red,recap,2711-04992,2023,n/a,n/a,n/a,n/a,,TUTI,,
12/5/2023,15:00,FP ,Blue/Alum,RFID Red,3B004C2890,2711-04967,,19.1,32.7,83,24.79,,TUTI,,
12/5/2023,15:00,FP,Black/Alum,RFID Black,recap,2711-04923,2023,n/a,n/a,n/a,n/a,,TUTI,,
12/5/2023,15:00,FP ,Blue/Alum,RFID Grey,recap ,2711-04915,2023,n/a,n/a,n/a,n/a,,TUTI,,
12/7/2023,9:15,SC,Yellow/Alum,RFID Grey,recap,2711-04909,2023,21.5,31.6,81,22.17,,TUTI,,
12/8/2023,14:00,MS,RFID Yellow,Blue/Alum,recap,2711-04971,2023,19.2,30,78,21.02,,TUTI,,
12/8/2023,14:00,MS,RFID Red,Orange/Alum,3B00495201,2711-04934,,20.8,31.9,81,22.45,9.1,TUTI,,
12/8/2023,14:00,MS,RFID Black,Green/Alum,3B004CDC68,2711-04970,,19.9,31.9,83,23.95,10.1,TUTI,,
12/8/2023,14:00,MS,RFID Green,Orange/Alum,recap,2711-04995,2023,21.5,32.2,82,21.78,7.3,TUTI,,
12/8/2023,14:00,MS,Orange/Alum,RFID Red,recap,2711-04992,2023,20.5,32.1,76,21.8,5.5,TUTI,,
12/8/2023,14:00,UM,Black/Alum,RFID Green,recap,2711-04913,2023,22.2,31.3,75,21.23,8.1,TUTI,,
12/8/2023,14:08,SC,Blue/Alum,RFID Green,recap,2711-04914,2023,n/a,n/a,n/a,n/a,6.4,TUTI,this makes 8 times! ,
12/8/2023,14:08,SC,Green/Alum,RFID Grey,recap ,2711-04917,2023,21.6,31.6,80,23.07,7.8,TUTI,6 times for this guy! and caught like 3 times with 04914 so they're buddies which is cute :),
12/8/2023,14:15,Pines,Orange/Alum,RFID Black,recap,2711-04928,2023,22.7,29.4,78,22.73,7.1,TUTI,,
12/8/2023,14:45,UM,Black/Alum,RFID Grey,recap,2711-04910,2023,21.1,31.9,80,23.29,8.8,TUTI,,
12/8/2023,13:45,MS,RFID Grey,Orange/Alum,recap,2711-04908,2023,n/a,n/a,n/a,n/a,n/a,TUTI,,
12/8/2023,15:15,MS,Red/Alum,RFID Blue,recap,2711-04994,2023,n/a,n/a,n/a,n/a,n/a,TUTI,,
12/8/2023,15:15,MS,RFID Black,Orange/Alum,recap,2711-04974,2023,n/a,n/a,n/a,n/a,n/a,TUTI,,
12/9/2023,9:30,R9,Black/Alum,RFID Purple,recap,2711-04983,2023,21.1,33.2,77,20,6.1,TUTI,,
12/9/2023,9:40,BW,Orange/Alum,RFID Purple,recap,2711-04979,2023,22.2,32.5,77,20.08,pic?,TUTI,,
12/9/2023,9:50,Pines,Yellow/Alum,RFID White,recap,2711-04972,2023,21.9,31.4,86,22.89,pic?,TUTI,,
12/9/2023,9:50,Pines,Orange/Alum,RFID Black,recap,2711-04928,2023,,,,,pic?,TUTI,,
12/9/2023,9:50,Pines,Green/Alum,RFID Black,recap,2711-04927,2023,20.7,31.7,79,21.47,pic? ,TUTI,,
12/9/2023,10:30,BL,Red/Alum,RFID Blue,recap,2711-04994,2023,n/a,n/a,n/a,n/a,pic? ,TUTI,caught the day before at MS,
12/9/2023,10:30,R9,Green/Alum,RFID Purple,recap,2711-04980,2023,n/a,n/a,n/a,n/a,pic?,TUTI,,
12/9/2023,10:30,R9,Red/Alum,RFID Yellow,recap,2711-04976,2023,n/a,n/a,n/a,n/a,pic?,TUTI,,
